#,Ethiopic,English,Transliteration,Incorrect 1,Incorrect 2,Incorrect 3,Notes
1,ሀብት,Gift,habt,ህብት,ሀበት,ሃብተ,
2,ሀገር,City,hagar,ህግር,ሃጋር,ሃገሪ,
3,ሃይማኖት,Faith,haymānot,ሆይማኖት,ሀየመናት,ህይመኑት,
4,ሊቅ,Chief,liq,ልቅ,ለቀ,ላቅ,
5,ሌሊት,Night,lelit,ልሊት,ለለተ,ሊላት,
6,ልማድ,Custom,ləmād,ሎምድ,ላምድ,ለመድ,
7,ልሳን,Language,ləsān,ሊስን,ሊሶን,ልስነ,
8,ልብ,Heart,ləbb,ለብ,ለበ,ሊብ,
9,ልብስ,Garment,ləbs,ሎበስ,ልባስ,ሊብስ,
10,ልዑል,Exalted,ləʿul,ለዕለ,ለዖል,ሉዕል,
11,ልደት,Birth,lədat,ሊደት,ልድት,ለደተ,
12,ሐራ,Army,ḥarrā,ሐረ,ሓረ,ሓራ,
13,ሐተታ,Inquiry,ḥatatā,ሐታት,ሕተታ,ሐተተ,
14,ሐዋርያ,Apostle,ḥawārəyā,ሖውርየ,ሑዋሪያ,ሐወርየ,
15,ሐዘን,Grief,ḥazan,ሕዝን,ሕዚን,ሖዘን,
16,ሐዳስ,New,ḥaddas,ሐዱስ,ሖዶስ,ሐድስ,
17,ሔዋን,Eve,ḥewon,ሖዌን,ሑውን,ሐይወን,
18,ሕልም,Dream,ḥəlm,ሖልም,ሕለም,ሐለም,
19,ሕማማት,Suffering,ḥəmāmāt,ሐመመት,ሑመማት,ሕሞሚት,
20,ሕሳዌ,Lie,ḥəssāwe,ሐሰው,ሕስወይ,ሑስዋ,
21,ሕብር,Color,ḥəbr,ሒብር,ሐብር,ሐበር,
22,ሕንጻ,Building,ḥənṣa,ሐንጽ,ሒንጽ,ሐነጸ,
23,ሕዝብ,Nation,ḥəzb,ሐዘብ,ሕዛብ,ሖዚብ,
24,ሕይወት,Life,ḥəywat,ሔወት,ሐይዋት,ሔዎት,
25,ሕግ,Law,ḥəgg,ሐግ,ሐገ,ሒግ,
26,ሕፃን,Infant,ḥəṣ́ān,ሕፀን,ሑፃን,ሒፀነ,
27,መሃሪ,Teacher,mahāri,መሀር,ሞሃር,ምህሪ,
28,መልአክ,Angel,malʾak,ሙልአክ,መለአክ,ምልእክ,
29,መሐላ,Oath,maḥallā,ሙሕላ,መሐል,ምሕል,
30,መቅደስ,Temple,maqdas,ምቅድስ,መቀደስ,ማቅድስ,
31,መንገድ,Road,mangad,መነገደ,ምንግድ,ሙንገድ,
32,መንግሥት,Kingdom,mangəśt,ምንግሥት,መነገሠት,ሙንገሥት,
33,መንፈስ,Spirit,manfas,ምንፍስ,መነፈሰ,ሙንፉስ,
34,መከራ,Test,makara,ምክረ,ምክር,መክሪ,
35,መካን,Place,makān,ምክን,መከን,ሙኮን,
36,መኰንን,Judge,makwannen,ምኵንን,መኳነን,መኲነን,
37,መዓዛ,Fragrance,maʿāzā,መዕዘ,ምዕዝ,መዐዛ,
38,መዝሙር,Psalm,mazmur,ምዝምር,መዘመር,ሙዝመር,
39,መዝበጥ,Striking,mazbaṭ,ምዝብጥ,መዘበጥ,ሙዝበጥ,
40,መድኅን,Savior,madḫən,ማድኅን,ምድኃን,ሞድኅን,
41,መጽሐፍ,Book,maṣḥaf,ምጽሐፍ,ምጽሓፍ,ማጽሓፍ,
42,ማኅደር,Dwelling,māḫədar,መኅደር,ማኅዳር,ሙኅዲር,
43,ማዕርግ,Dignity,māʿərəg,ምዕርግ,ሞዕረግ,መዐረግ,
44,ምሕረት,Mercy,məḥrat,ምሕርት,መሐረት,ሙሕሪት,
45,ምሥዋዕ,Altar,məśwaʿ,መሥወዕ,መሠወዐ,መሥውዓ,
46,ምርሐት,Guidance,mərḥat,ምርሕት,ማርሒት,መርሐት,
47,ምስል,Image,məsl,መሰል,ሚሳል,ሞሰል,
48,ምስጢር,Mystery,məsṭir,ምስጥር,ሞሰጦር,መሰጠረ,
49,ምቅራብ,Neighborhood,məqrāb,ምቅርብ,ሞቅረብ,ሚቀራብ,
50,ምዋኤ,Victory,məwwāʾe,ሞዌ,ምዊአ,ምዉኢ,
51,ምድር,Land,mədr,መደር,ሚዲረ,ሞደር,
52,ምጽአት,Arrival,məṣʾat,ምጽእት,መጸአት,ሞጾእት,
53,ሞት,Death,mot,ሙት,ሚት,ማት,
54,ሠናይ,Beautiful,śannāy,ሥንይ,ሠነይ,ሦነይ,
55,ሡራሬ,Foundation,śurāre,ሦረሬ,ሥርሬ,ሡረሪ,
56,ሣህል,Grace,śahl,ሠህል,ሠሀለ,ሣሀል,
57,ሥጋ,Flesh,śəga,ሠገ,ሢጋ,ሦጋ,
58,ረድኤት,Disciple,radʾet,ርድእት,ረድአት,ርደኤት,
59,ርስት,Inheritance,rəst,ረስት,ረሰተ,ሪስት,
60,ርእስ,Head,rəʾəs,ረአስ,ሪኢስ,ረኣሰ,
61,ርእየት,Vision,rəʾyat,ረአየት,ርእይት,ሪአያት,
62,ርክበት,Discovery,rəkbat,ርክብት,ረከበት,ርክቦት,
63,ሰላም,Peace,salām,ስለም,ሶላም,ስልም,
64,ሰማይ,Sky,samāy,ስምይ,ሶማይ,ስሞይ,
65,ሰርቅ,Theft,sarq,ሶርቅ,ሰረክ,ስሩክ,
66,ሰብእ,People,sabʾ,ስብአ,ሰበእ,ሲብእ,
67,ሰንበት,Sabbath,sanbat,ሳንባት,ሰነበት,ሲንባት,
68,ሰዓት,Hour,saʿāt,ስዕት,ሳዕት,ሲዕት,
69,ሰይጣን,Satan,sayṭān,ሴይጣን,ስይጥን,ሰየጣን,
