ID,character,transliteration,name,scribal,cursive,sabaic,sabaic_image,group,previous,next,description
186,፩,ʾaḥādu (1),ʾaḥādu (1),,,,,Numerals,185,187,
187,፪,kəlʾetu (2),kəlʾetu (2),,,,,Numerals,186,188,
188,፫,šalastu (3),šalastu (3),,,,,Numerals,187,189,
189,፬,ʾarbāʿtu (4),ʾarbāʿtu (4),,,,,Numerals,188,190,
190,፭,ḥaməstu (5),ḥaməstu (5),,,,,Numerals,189,191,
191,፮,sədəstu (6),sədəstu (6),,,,,Numerals,190,192,
192,፯,səbʿātu (7),səbʿātu (7),,,,,Numerals,191,193,
193,፰,samantu (8),samantu (8),,,,,Numerals,192,194,
194,፱,tasʿātu (9),tasʿātu (9),,,,,Numerals,193,195,
195,፲,ʿašartu (10),ʿašartu (10),,,,,Numerals,194,196,
196,፳,ʿəšrā (20),ʿəšrā (20),,,,,Numerals,195,197,
197,፴,šalāsā (30),šalāsā (30),,,,,Numerals,196,198,
198,፵,ʾarbāʿā (40),ʾarbāʿā (40),,,,,Numerals,197,199,
199,፶,ḥāməsā (50),ḥāməsā (50),,,,,Numerals,198,200,
200,፷,səsā (60),səsā (60),,,,,Numerals,199,201,
201,፸,sabʿā (70),sabʿā (70),,,,,Numerals,200,202,
202,፹,samānya (80),samānya (80),,,,,Numerals,201,203,
203,፺,tasʿā (90),tasʿā (90),,,,,Numerals,202,204,
204,፻,məʾat (100),məʾat (100),,,,,Numerals,203,205,
205,፼,ʿašartu ʾalf (10000),ʿašartu ʾalf (10000),,,,,Numerals,204,,
