ID,letter,consonant,vowel,transcription
1,ሀ,h,a,
2,ሁ,h,u,
3,ሂ,h,i,
4,ሃ,h,ā,
5,ሄ,h,e,
6,ህ,h,ə ,
7,ሆ,h,o,
8,ሇ,h,wā,
9,,h,ya,
10,ለ,l,a,
11,ሉ,l,u,
12,ሊ,l,i,
13,ላ,l,ā,
14,ሌ,l,e,
15,ል,l,ə ,
16,ሎ,l,o,
17,ሏ,l,wā,
18,,l,ya,
19,ሐ,ḥ,a,
20,ሑ,ḥ,u,
21,ሒ,ḥ,i,
22,ሓ,ḥ,ā,
23,ሔ,ḥ,e,
24,ሕ,ḥ,ə ,
25,ሖ,ḥ,o,
26,ሗ,ḥ,wā,
27,,ḥ,ya,
28,መ,m,a,
29,ሙ,m,u,
30,ሚ,m,i,
31,ማ,m,ā,
32,ሜ,m,e,
33,ም,m,ə ,
34,ሞ,m,o,
35,ሟ,m,wā,
36,ፙ,m,ya,
37,ሠ,ś,a,
38,ሡ,ś,u,
39,ሢ,ś,i,
40,ሣ,ś,ā,
41,ሤ,ś,e,
42,ሥ,ś,ə ,
43,ሦ,ś,o,
44,ሧ,ś,wā,
45,,ś,ya,
46,ረ,r,a,
47,ሩ,r,u,
48,ሪ,r,i,
49,ራ,r,ā,
50,ሬ,r,e,
51,ር,r,ə ,
52,ሮ,r,o,
53,ሯ,r,wā,
54,ፘ,r,ya,
55,ሰ,s,a,
56,ሱ,s,u,
57,ሲ,s,i,
58,ሳ,s,ā,
59,ሴ,s,e,
60,ስ,s,ə ,
61,ሶ,s,o,
62,ሷ,s,wā,
63,,s,ya,
64,ሸ,š,a,
65,ሹ,š,u,
66,ሺ,š,i,
67,ሻ,š,ā,
68,ሼ,š,e,
69,ሽ,š,ə ,
70,ሾ,š,o,
71,ሿ,š,wā,
72,,š,ya,
73,ቀ,q,a,
74,ቁ,q,u,
75,ቂ,q,i,
76,ቃ,q,ā,
77,ቄ,q,e,
78,ቅ,q,ə ,
79,ቆ,q,o,
80,ቇ,q,wā,
81,,q,ya,
82,ቈ,qw,a,
83,,qw,u,
84,ቊ,qw,i,
85,ቋ,qw,ā,
86,ቌ,qw,e,
87,ቍ,qw,ə ,
88,,qw,o,
89,,qw,wā,
90,,qw,ya,
91,ቐ,x̣,a,
92,ቑ,x̣,u,
93,ቒ,x̣,i,
94,ቓ,x̣,ā,
95,ቔ,x̣,e,
96,ቅ,x̣,ə ,
97,ቖ,x̣,o,
98,,x̣,wā,
99,,x̣,ya,
100,ቘ,x̣w,a,
101,,x̣w,u,
102,ቝ,x̣w,i,
103,ቛ,x̣w,ā,
104,ቜ,x̣w,e,
105,ቚ,x̣w,ə ,
106,,x̣w,o,
107,,x̣w,wā,
108,,x̣w,ya,
